,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
0,Corporate Support Manager,99999.00,No,Radio station,College/university,Chapel Hill,North Carolina,No,2,3,5,57,Male,White,No,NC,,Manager
1,Morning Edition Host/Producer,99000.00,Yes,Joint licensee,Community/independent nonprofit,nan,Pennsylvania,No,7,20,20,57,Female,White,Yes,PA,,Host
2,"Director, Human Resources",98114.88,No,National network/organization ,,Minneapolis,Minnesota,No,3,3,3,34,Male,Hispanic/Latino,Yes,MN,105.4,HR
3,Assistant Director of Integrated Broadcast Systems,98000.00,Yes,Radio station,College/university,"Washington, D.C.",District of Columbia,No,4,4,4,29,Male,White,No,DC,,Director
4,Producer III,98000.00,No,Joint licensee,Community/independent nonprofit,San Francisco,California,Yes,20,24,24,52,Female,Asian,No,CA,178.6,Producer
5,Digital Membership Director,98000.00,No,Joint licensee,Community/independent nonprofit,Philadelphia,Pennsylvania,No,1,1,5,49,Female,White,No,PA,103.4,Director
6,"Director, Social Media",97000.00,Yes,Joint licensee,College/university,New York,New York,No,2,2,2,39,Male,White,No,NY,128,Director
7,Senior Director,97850.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,1,4,4,33,Female,Hispanic/Latino,Yes,DC,,Director
8,"Director, Product Management",97204.00,No,National network/organization ,,Minneapolis,Minnesota,No,4,8,8,37,Male,White,No,MN,105.4,Director
9,Director of Digital Content,97000.00,Yes,Joint licensee,State,Atlanta,Georgia,No,2,4,4,56,Female,White,No,GA,100.3,Director
10,Audience Director ,96000.00,Yes,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,1,10,11,47,Female,White,,NH,108.3,Director
11,Senior Producer,96400.00,Yes,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,4,23,25,47,Female,White,No,MA,132.6,Producer
12,Executive Producer for News,96000.00,No,Joint licensee,College/university,Houston,Texas,No,3,19,20,41,Female,White,No,TX,95.8,Producer
13,Anchor/Reporter,96000.00,No,Joint licensee,State,Atlanta,Georgia,No,16,15,17,42,Female,White,No,GA,100.3,Reporter
14,Philanthropy Officer,96000.00,No,Radio station,College/university,Seattle,Washington,No,6,13,13,37,Male,White,No,WA,124.6,Executive Officer
15,Communications Manager,96000.00,No,TV station,State,nan,Iowa,No,6.5,14,6.5,39,Female,White,No,IA,,Manager
16,Reporter,96000.00,Yes,Radio station,College/university,Boston,Massachusetts,Yes,4,2,5,36,Male,Asian,Yes,MA,132.6,Reporter
17,Director of Institutional Giving,95000.00,Yes,National network/organization ,,nan,,,,,,,,,,,,Director
18,"Senior Director, Radio",95000.00,No,Joint licensee,Community/independent nonprofit,Springfield,Massachusetts,Yes,7,7,45,67,Male,White,No,MA,106.5,Director
19,Director of Technology,95000.00,No,Joint licensee,College/university,Columbus,Ohio,No,6,25,25,49,Male,White,No,OH,93.9,Director
20,Associate Director,95000.00,No,Joint licensee,College/university,Madison,Wisconsin,No,1,10,10,47,Female,White,No,WI,99.5,Director
21,Executive Producer,95000.00,No,Radio station,College/university,Boston,Massachusetts,No,1,8,8,42,Male,Biracial/Multiracial,No,MA,132.6,Producer
22,Senior Digital Producer,95720.00,Yes,National network/organization ,,Boston,Massachusetts,No,13,700,21,52,Male,White,No,MA,132.6,Producer
23,Senior Development Officer,95500.00,No,Radio station,Community/independent nonprofit,New York,New York,No,5,5,5,44,Female,White,No,NY,128,Executive Officer
24,General Manager,95172.00,No,Joint licensee,College/university,Bowling Green,Kentucky,No,7,23,28,52,Male,White,No,KY,87,Manager
25,Chief Technology Officer,95167.00,No,Joint licensee,Community/independent nonprofit,Pittston,Pennsylvania,No,25,42,42,65,Male,White,No,PA,,Executive Officer
26,General Manager/Program Director,95000.00,No,Radio station,Community/independent nonprofit,Charlottesville,Virginia,No,7,7,28,52,Male,White,No,VA,102.1,Manager
27,Editor ,95000.00,No,Radio station,College/university,Boston,Massachusetts,Yes,6,13,37,65,Female,White,No,MA,132.6,Editor
28,Executive Director,95000.00,Yes,Radio station,College/university,Oklahoma City,Oklahoma,No,2,20,20,40,Female,White,No,OK,87.3,Director
29,Station Manager ,95000.00,No,Radio station,Community/independent nonprofit,Wilmington,North Carolina,No,1,1,19,58,Male,White,No,NC,99,Manager
30,Content Director,95000.00,Yes,Radio station,State,nan,New Hampshire,No,4,7,18,41,Female,White,No,NH,,Director
31,Senior Producer,95000.00,No,TV station,State,Des Moines,Iowa,No,8,17,17,36,Male,White,No,IA,91.7,Producer
32,Correspondent,95000.00,No,Radio station,Community/independent nonprofit,Los Angeles,California,Yes,3,14,14,62,Female,White,No,CA,140.6,Reporter
33,Series Producer,95000.00,Yes,National network/organization ,,San Francisco,California,No,10,10,10,50,Female,White,No,CA,178.6,Producer
34,Development Director,95000.00,No,Joint licensee,State,nan,,No,9,9,9,45,Male,White,No,,,Director
35,Chief Operating Officer,95000.00,No,Joint licensee,Community/independent nonprofit,nan,California,No,1,8,8,59,Female,White,No,CA,,Executive Officer
36,Senior Producer,95000.00,No,National network/organization ,,Saint Paul,,No,1,2,5,31,Male,White,Yes,,,Producer
37,Major Gifts Officer,95000.00,No,Radio station,Community/independent nonprofit,New York,New York,No,2.5,2.5,2.5,34,Female,White,No,NY,128,Executive Officer
38,"Managing Editor, Communications and Marketing",94000.00,Yes,Joint licensee,Community/independent nonprofit,New York,New York,No,4,9.5,9.5,51,Female,White,No,NY,128,Marketing
39,Sound Engineer,94000.00,Yes,Radio station,Community/independent nonprofit,New York,New York,No,1,6,6,31,Male,White,No,NY,128,Engineer
40,Director of Corporate Support,93000.00,No,Joint licensee,Community/independent nonprofit,Richmond,Virginia,No,3,12,12,42,Female,White,Yes,VA,99.2,Director
41,"Director, Consumer Insights and Analysis",93000.00,No,National network/organization ,,Arlington,Virginia,No,6,10,10,43,Female,White,No,VA,,Director
42,Editor,93000.00,Yes,Radio station,,New York,New York,No,17,17,3.5,44,Female,White,No,NY,128,Editor
43,Video Producer,93000.00,Yes,TV station,,Saint Paul,Minnesota,No,3,3,3,26,Non-binary / third gender,Asian,Yes,MN,,Video Journalist
44,Assistant Director of Finance,92820.00,No,Radio station,College/university,Seattle,Washington,No,3.5,3.5,19,48,Female,White,No,WA,124.6,Director
45,Senior Creative Producer,92700.00,No,National network/organization ,,San Francisco,California,No,1.5,1.5,1.5,38,Female,White,No,CA,178.6,Producer
46,Senior Digital Designer,92000.00,Yes,Joint licensee,,Boston,Massachusetts,No,5,5,5,44,Female,Asian,No,MA,132.6,Designer
47,Correspondent,92000.00,Yes,National network/organization ,,Saint Paul,Minnesota,Yes,5,30,30,52,Female,White,Yes,MN,,Reporter
48,Senior Producer,92000.00,Yes,National network/organization ,,Saint Paul,Minnesota,No,2,15,19,50,Male,Hispanic/Latino,No,MN,,Producer
